Species,Genus,Family,Order,Class,Phylum
Ablabesmyiaspp.,Ablabesmyia,Chironomidae,Diptera,Insecta,Arthropoda
Amnicolalimosus,Amnicola,Hydrobiidae,Neotaenioglossa,Gastropoda,Mollusca
Amnicolaspp.,Amnicola,Hydrobiidae,Neotaenioglossa,Gastropoda,Mollusca
Arcteonaislomondi,Arcteonais,Naididae,Haplotaxida ,Oligochaeta,Annelida
Aulodrilusamericanus,Aulodrilus,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Aulodriluslimnobius,Aulodrilus,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Aulodriluspigueti,Aulodrilus,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Aulodriluspluriseta,Aulodrilus,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Birgellasubglobosus,Birgella,Hydrobiidae,Neotaenioglossa,Gastropoda,Mollusca
Bithyniatentaculata,Bithynia,Bithyniidae,Neotaenioglossa,Gastropoda,Mollusca
Branchiurasowerbyi,Branchiura,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Caecidoteaspp.,Caecidotea,Asellidae,Isopoda,Malacostraca,Arthropoda
Caenisspp.,Caenis,Caenidae,Ephemeroptera,Insecta,Arthropoda
Chaetogasterspp.,Chaetogaster,Naididae,Haplotaxida ,Oligochaeta,Annelida
Chironomidae,NA,Chironomidae,Diptera,Insecta,Arthropoda
Chironomini,NA,Chironomidae,Diptera,Insecta,Arthropoda
Chironomusspp.,Chironomus,Chironomidae,Diptera,Insecta,Arthropoda
Cladotanytarsussp.,Cladotanytarsus,Chironomidae,Diptera,Insecta,Arthropoda
Coelotanypusspp.,Coelotanypus,Chironomidae,Diptera,Insecta,Arthropoda
Cricotopusspp.,Cricotopus,Chironomidae,Diptera,Insecta,Arthropoda
Cryptochironomusspp.,Cryptochironomus,Chironomidae,Diptera,Insecta,Arthropoda
Cryptotendipessp.,Cryptotendipes,Chironomidae,Diptera,Insecta,Arthropoda
Demicryptochironomussp.,Demicryptochironomus,Chironomidae,Diptera,Insecta,Arthropoda
Derospp.,Dero,Naididae,Haplotaxida ,Oligochaeta,Annelida
Dicrotendipesspp.,Dicrotendipes,Chironomidae,Diptera,Insecta,Arthropoda
Diporeiahoyi,Diporeia,Pontoporeiidae,Amphipoda,Malacostraca,Arthropoda
Dreissenapolymorpha,Dreissena,Dreissenidae,Veneroida,Bivalvia,Mollusca
Dreissenarostriformisbugensis,Dreissena,Dreissenidae,Veneroida,Bivalvia,Mollusca
Echinogammarusischnus,Echinogammarus,Gammaridae,Amphipoda,Malacostraca,Arthropoda
Erpobdellidae,NA,Erpobdellidae,Arhynchobdellida,Hirudinea,Annelida
Gammarusspp.,Gammarus,Gammaridae,Amphipoda,Malacostraca,Arthropoda
Gloiobdellaelongata,Gloiobdella,Glossiphoniidae,Rhynchobdellida,Hirudinea,Annelida
Glossiphoniidae,NA,Glossiphoniidae,Rhynchobdellida,Hirudinea,Annelida
Harnischiasp.,Harnischia,Chironomidae,Diptera,Insecta,Arthropoda
Helobdellaspp.,Helobdella,Glossiphoniidae,Rhynchobdellida,Hirudinea,Annelida
Helobdellastagnalis,Helobdella,Glossiphoniidae,Rhynchobdellida,Hirudinea,Annelida
Heterotrissocladiusspp.,Heterotrissocladius,Chironomidae,Diptera,Insecta,Arthropoda
Hexageniaspp.,Hexagenia,Ephemeridae,Ephemeroptera,Insecta,Arthropoda
Hirudinea,NA,NA,NA,Hirudinea,Annelida
Hyalellaazteca,Hyalella,Hyalellidae,Amphipoda,Malacostraca,Arthropoda
Hydrasp.,Hydra,Hydridae,Anthoathecatae,Hydrozoa,Cnidaria
Hydrobiidae,NA,Hydrobiidae,Neotaenioglossa,Gastropoda,Mollusca
Hydrolimaxgrisea,Hydrolimax,Plagiostomidae,Neoophora,Trepaxonemata,Platyhelminthes
Ilyodrilustempletoni,Ilyodrilus,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
immaturetubificidwithhairs,NA,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
immaturetubificidwithouthairs,NA,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Isochaetidesfreyi,Isochaetides,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Limnodrilusclaparedianus,Limnodrilus,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Limnodrilushoffmeisteri,Limnodrilus,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Limnodrilusmaumeensis,Limnodrilus,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Limnodrilusspp.,Limnodrilus,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Limnodrilusudekemianus,Limnodrilus,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Lumbriculidae,NA,Lumbriculidae,Lumbriculida,Oligochaeta,Annelida
Lymnaeidae,NA,Lymnaeidae,Basommatophora,Gastropoda,Mollusca
Manayunkiaspeciosa,Manayunkia,Sabellidae,Canalipalpata,Polychaeta,Annelida
Microchironomusspp.,Microchironomus,Chironomidae,Diptera,Insecta,Arthropoda
Microtendipesspp.,Microtendipes,Chironomidae,Diptera,Insecta,Arthropoda
Musculiumspp.,Musculium,Pisidiidae,Veneroida,Bivalvia,Mollusca
Naididae,NA,Naididae,Haplotaxida ,Oligochaeta,Annelida
Naisspp.,Nais,Naididae,Haplotaxida ,Oligochaeta,Annelida
Nemertea,NA,NA,NA,NA,Nemertea
Oecetisspp.,Oecetis,Leptoceridae,Trichoptera,Insecta,Arthropoda
Ophidonaisserpentina,Ophidonais,Naididae,Haplotaxida ,Oligochaeta,Annelida
Orthocladiinae,NA,Chironomidae,Diptera,Insecta,Arthropoda
Parachironomusspp.,Parachironomus,Chironomidae,Diptera,Insecta,Arthropoda
Paracladopelmaspp.,Paracladopelma,Chironomidae,Diptera,Insecta,Arthropoda
Paralauterborniellaspp.,Paralauterborniella,Chironomidae,Diptera,Insecta,Arthropoda
Paratendipesspp.,Paratendipes,Chironomidae,Diptera,Insecta,Arthropoda
Physaspp.,Physa,Physidae,Basommatophora,Gastropoda,Mollusca
Piguetiellaspp.,Piguetiella,Naididae,Haplotaxida ,Oligochaeta,Annelida
Pisidiumspp.,Pisidium,Pisidiidae,Veneroida,Bivalvia,Mollusca
Planorbidae,NA,Planorbidae,Basommatophora,Gastropoda,Mollusca
Platyhelminthes,NA,NA,NA,NA,Platyhelminthes
Pleuroceridae,NA,Pleuroceridae,Neotaenioglossa,Gastropoda,Mollusca
Polypedilumspp.,Polypedilum,Chironomidae,Diptera,Insecta,Arthropoda
Potamopyrgusantipodarum,Potamopyrgus,Hydrobiidae,Neotaenioglossa,Gastropoda,Mollusca
Potamothrixmoldaviensis,Potamothrix,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Potamothrixspp.,Potamothrix,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Potamothrixvejdovskyi,Potamothrix,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Probythinellalacustris,Probythinella,Hydrobiidae,Neotaenioglossa,Gastropoda,Mollusca
Procladiusspp.,Procladius,Chironomidae,Diptera,Insecta,Arthropoda
Pseudochironomussp.,Pseudochironomus,Chironomidae,Diptera,Insecta,Arthropoda
Quistadrilusmultisetosus,Quistadrilus,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Specariajosinae,Specaria,Naididae,Haplotaxida ,Oligochaeta,Annelida
Sphaeriumspp.,Sphaerium,Pisidiidae,Veneroida,Bivalvia,Mollusca
Spirospermaferox,Spirosperma,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Stictochironomussp.,Stictochironomus,Chironomidae,Diptera,Insecta,Arthropoda
Stylarialacustris,Stylaria,Naididae,Haplotaxida ,Oligochaeta,Annelida
Stylodrilusheringianus,Stylodrilus,Lumbriculidae,Lumbriculida,Oligochaeta,Annelida
Tanypodinae,NA,Chironomidae,Diptera,Insecta,Arthropoda
Tanytarsini,NA,Chironomidae,Diptera,Insecta,Arthropoda
Tanytarsusspp.,Tanytarsus,Chironomidae,Diptera,Insecta,Arthropoda
Trichoptera,NA,NA,Trichoptera,Insecta,Arthropoda
Tricladida,NA,NA,Tricladida,Acentrosomata,Platyhelminthes
Tubifextubifex,Tubifex,Tubificidae,Haplotaxida ,Oligochaeta,Annelida
Turbellaria,NA,NA,NA,NA,Platyhelminthes
Uncinaisuncinata,Uncinais,Naididae,Haplotaxida ,Oligochaeta,Annelida
Valvatalewisi,Valvata,Valvatidae,Heterostropha,Gastropoda,Mollusca
Valvatapiscinalis,Valvata,Valvatidae,Heterostropha,Gastropoda,Mollusca
Valvatasincera,Valvata,Valvatidae,Heterostropha,Gastropoda,Mollusca
Valvataspp.,Valvata,Valvatidae,Heterostropha,Gastropoda,Mollusca
Valvatatricarinata,Valvata,Valvatidae,Heterostropha,Gastropoda,Mollusca
Vejdovskyellaspp.,Vejdovskyella,Naididae,Haplotaxida ,Oligochaeta,Annelida
Viviparidae,NA,Viviparidae,Architaenioglossa ,Gastropoda,Mollusca
