species,1A,1B,1C,2A,2B,2C,3A,3B,3C,4A,4B,4C,5A,5B,5C,6A,6B,6C,7A,7B,7C,8A,8B,8C,9A,9B,9C,10A,10B,10C,11A,11B,11C,12A,12B,12C,13A,13B,13C,14A,14B,14C,15A,15B,15C,16A,16B,16C,17A,17B,17C,18A,18B,18C,19A,19B,19C,20A,20B,20C,22A,22B,22C,23A,23B,23C
Holcus lanatus subsp. lanatus,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"",2,2,+,"",+,"","",+,1,+,2,2,+,1,+,"","",1,"","",1
Hypericum androsaemum,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","",+,"","","","","","","","",1,"","","","","","","","","","","","","",+
Hypericum hirsutum,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",r,"","","","","","",1,"",1,"","","","","","","","","","","","","","","","","","","","",""
Hypericum montanum,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Hypericum perforatum s.l.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Hypochaeris radicata,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,+,"",r,"","","","","","",r,"","","","","","","","","","","","",""
Impatiens noli- tangere,"","","","","","","","","","","","","","",r,"","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","",""
Inula conyzae,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","","","","","","","","","","","",""
Inula salicina,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Laburnum alpinum,"","","",1,+,r,"","","","","","",r,"","","","","","","","",+,r,"","",+,+,"","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","",""
Laburnum anagyroides subsp. anagyroides,"","","","","","","","","","","","","","","","",r,"","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","",""
Lamium purpureum,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Lapsana communis subsp. communis,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,+,+,"","","","",+,+,"","","","","","",1,"","","","",""
Lathyrus niger,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","",""
Lathyrus venetus,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","",""
Leucanthemum vulgare subsp. vulgare,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","","","","","","","","","","","","","",1
Ligustrum vulgare,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","",3,"",2,+,1,1,2,"","","","","","",1,"","","","","",+,+
Lilium bulbiferum subsp. croceum,"","",r,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,1,"","","","","","","","","","","","","","","","","","","","","",""
Lilium martagon,"","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"",1,"","","","","","",+,"",1,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
Lonicera xylosteum,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Lotus corniculatus s.l.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Lotus hirsutus,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","",1,"","","",+,+,"","",""
Luzula campestris,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","","","","","","","","","","","","",""
Luzula forsteri,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+
Luzula nivea,+,"","",1,1,2,"","",+,3,2,"",1,"","",r,+,"","","","",1,1,1,1,1,+,"","","",1,"",1,"","","","","","",1,"",+,"","","","","","","","","","","","",1,2,2,"","","","","","","","",""
Luzula sylvatica,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"",+,"","","","","","","",+,"","","",+,"",+,"","","","","",2
Lychnis flos-cuculi subsp. flos-cuculi,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","",""
Lysimachia punctata,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","",""
Malva moschata,"","","","","","","","","","","","","","","","","","","","","","","","","","",r,"","","","","","","","","","",+,"","","","",1,+,"","","","","","","","","","","","","","","","","","","","","",""
Melica uniflora,1,"",+,"","",1,+,+,"","","","","","","","","","",+,"","","","","",1,"",1,+,"","","","","",3,1,"","","","","","","",2,1,3,"","","","","","","","","","","","","","","","","","","","",""
Melittis melissophyllum subsp. melissophyllum,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Mercurialis perennis,"","","","","","","","","","","","",r,"","","","","","","","","","","","","","","",1,1,"","","","","","","","","",1,"",3,1,1,"","",1,"",+,1,2,1,2,3,"","","","","","","","","","",2,""
Milium effusum subsp. effusum,2,+,+,"","","",+,"",+,1,+,+,+,+,"","",r,1,+,"","","","","",1,"","","","","",1,"","","","","","","","","","","","","","","","","","",1,"","","","","","","","",3,"","","","",+,+,""
Moheringia trinervia,1,+,"","","","","","","",1,"","","","","","","","","","","","","","","","","",1,"","","","","","","",+,"","","","",2,"","","","","","","","","","","","","","","","","","","","","","","","",""
Muscari comosum,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","",""
Mycelis muralis subsp. muralis,+,"","",+,"","","","","","","","",r,+,+,"","","","","","","","",+,"","","","","","","","",1,1,1,"","","","","","","",+,"","","","","","","","","","","","","","","","","","","","","","",""
Myosotis scorpioides sub.scorpioides,r,"",+,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,1,"","","","","","","","","","","","","","","","","","","","","",""
Neottia ovata,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","","","","","","","","",""
Ostrya carpinifolia,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Oxalis acetosella,"","","","",1,"",+,+,"","","","","","","","","","",+,"",+,"","","","","","","","","","",1,"",1,+,"","","","","","","",1,"",1,"","","","","","","","","","","","","","","","","","","","",""
Parietaria officinalis,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5,"","","","","","",1,"","","","","","","","","","","","","","","","","",1,"","","","",""
Paris quadrifolia,"","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Phyteuma ovatum s.l.,"","","","","",1,"","","","","","","","","","","","","","","",+,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Poa bulbosa subsp. bulbosa,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Poa nemoralis subsp. nemoralis,"","","","","","","","","",1,+,"","","",+,"","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Poa trivialis,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+
Polygonatum verticillatum,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",r,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Polypodium vulgare,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","",""
Polystichum aculeatum,"","","","",r,"","","","","","","","",r,"","","",+,"","","","",+,"","","",r,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Polystichum setiferum,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,1,"","","","","","","","","","","",r,"","","","","","","","","","","",+,"","","","","",""
Potentilla reptans,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Prenanthes purpurea,"","","",1,1,1,"","",+,1,1,"","","","",+,1,1,"","","","","","","",+,"","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Primula vulgaris subsp. vulgaris,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","",""
Prunus avium,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",r,"","","","","","","","","","","","","","","","","","","","",""
Prunus cerasifera,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,1,"","","","","","","","",""
Prunus spinosa,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,+,"","","",1,2,1,+,"",+,1,1,2,1,+,+,+,"","","",+,+,"",+,"",r,"",+,""
Pteridium aquilinum subsp. aquilinum,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","","","","","","","","",r,"","","",""
Pulmonaria hirta,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,+,"","","","","","","","","","","","",+,"","","","","","","",""
Quercus cerris,"","","","","","","","","","","","","","","","","","","","","","","","","",+,"",r,"","","","","","","","","","","","","","",+,"","","","","","","","","","","","","","","","","","","","","","",""
Quercus pubescens subsp. pubescens,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,2,"","","","","","",+,1,"","","",+,"","","","",+,+,"","","",""
Ranunculus lanuginosus,"","","","","","","","","","","","","","","","","","","","","","","","","","","",+,+,"","","","","","","","","","","","","",1,"","","","","","","","",1,1,"","","","","",1,"","","","",1,1,""
Ranunculus bulbosus,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","",1,"","","","","","","","","","","","","","","",""
Rhinanthus alectorolophus subsp. alectorolophus,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"",+,"","","","","","","",r,"","","","","","","","",r,"","","",1
Rosa canina,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,2,2,"","","","","","","","","","","","","","","","","","","","",""
Rubus hirtus,"","","","",r,"","","",r,r,r,"",+,"",+,"","","","","","",r,"","","","",+,"","",+,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Rubus ulmifolius,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","",""
Rumex acetosa subsp. acetosa,"","","","","","","","","",+,+,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,r,+,r,"","","","","",+,"","","","","","","","","","",+,1
Rumex sanguineus,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"",+,"",1,+,"","","",3,"","",+,"",+,"","","","","","","","",+
Salvia glutinosa,"","","","","","","","","","","","",r,r,1,"","","","","","","","","","","","","","","",1,"","",1,1,3,"","","","","","","","",1,"","","","",+,"","","","","","","","","","",1,"",1,"","",""
Sambucus ebulus,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,1,1,"","","","","","","","","","","","","","","","","","","","",""
Sambucus nigra,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,"",+,"",r,"","",1,"","","","","","","","",2,"","","","","","","","","","","","","","","","","","","","",""
Sanicula europaea,"",1,1,"","",+,"","","","","","","",1,"","","",+,"","","","",+,"","","",1,"",+,"","","","",+,+,2,"","","","","","",+,"",3,"","","","","","","","","","","","","","","","","","","","",""
Saxifraga bulbifera,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","","","","","","","","","","","","",""
Saxifraga rotundifolia subsp. rotundifolia,"","","",1,1,1,"","","","","","",r,"","","","","","","","","","","","","","","","","",+,"","","","",r,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Scilla bifolia,r,"",+,"","","","",+,+,"","",r,"","","","","","","","","","","","","","","","","","","","","","","","",+,"",+,1,"",+,+,"","","",1,r,+,1,3,1,+,+,"","","","",1,"","","","","",+,""
Sedum cepaea,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,1,+,"","","","","","","","","","","","","","","","","","","","",""
Sedum monregalense,"","","","","",+,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","",1,"","","","","","","","","","","","","","","","","","",""
Senecio ovatus s.l.,2,"",1,+,1,"","","","",r,1,+,"","",+,"","","",+,"","",+,"","",+,"","","","","",5,5,5,"","","","","","","",+,"","","","","","","","","","","","","","","","","","","","","","","","",""
Senecio squalidus subsp. rupestris,+,"","","",+,"","","","","","","",2,1,2,"","","","","","","","","","","","","","","","","","","","","","","","","",1,"",1,"","","","","","","","","","","","","","","","","","","","","","",""
Sesleria italica,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Silene dioica,1,"","","","","","","","",+,"",+,"","","","","","","","","","","","","","","",2,r,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Silene italica s.l.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Silene vulgaris s.l.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,3,4,"","",3,"","","","","","","",1,"","","","","","","",5,2,1,"",2,3,"","",""
Solidago virgaurea,"","","",+,"",+,"","","","","","","","","","","","",+,"","","","","",+,"","","","","","","","","",r,"","","","","","","","","",2,"","","","","","","","","","","","","","","","","","","","",""
Sorbus aria,"","","","","",r,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","",1,"","","","","","","","","","","","","","","","","","","",""
Sorbus aucuparia subsp. aucuparia,"","","","","",r,r,+,"","","","","","","","","","",+,"",+,"","","","","","","","","","","","","","","","","","","","","",+,r,"","","","","","","","","","","","","","","","","","","","","",""
Sorbus torminalis,r,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,2,"",1,+,1,"",+,+,2,1,1,"",1,+,"",3,"","","",+,"",+,+
Stachys sylvatica,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Stellaria media subsp. media,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","",""
Stellaria nemorum s.l.,1,"","","","","","","","","","",1,"","","","","","",+,"","","","","","","","","","","",+,1,1,1,2,1,"","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","",1
Symphytum tuberosum,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Taraxacum officinale,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","","","","","","","","","","",""
Tephroseris italica,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Teucrium chamaedrys subsp. chamaedrys,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","",+,+,"","","","","","","","","",1,1,1,"","","","","","","","","",+,1,""
Thymus longicaulis subsp. longicaulis,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","","","","","","","","","","",""
Tilia cordata,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",r,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Trifolium campestre,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
Trifolium medium subsp. medium,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","","","","","","","","","","","",""
Trifolium ochroleucon,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Ulmus glabra,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",r,"","","","","","",1,1,1,"","","","","","","","","","","","","","","","","","","","",""
Urtica dioica s.l.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","",+,3,"","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","",""
Veronica arvensis,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"",1,"","","","","",+,"","","","","","",+,"","","","","","",+
Veronica chamaedrys subsp. chamaedrys,r,"","","",+,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Veronica montana,"",1,"","","","","","","","",2,"","","",+,r,"",+,"","","",+,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Veronica officinalis,"","","","",+,+,"",r,+,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","","","","","","","","","","","","",""
Vicia bithynica,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,+,2,"","","","","","",+,"","","","","","","","","","","","","",""
Vicia cracca,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Vicia sativa,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","",1
Vicia sepium,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,+,2,"","","","","","","","","","","","","","","","","","","","",+
Vincetoxicum hirundinaria subsp. hirundinaria,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","",1,"","","","","",+,+,"","","","","","",1
Viola alba s.l.,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,1,"","","","","","","","","","","","","","","","","","","","",""
Viola reichenbachiana,+,+,+,+,"",1,"",+,"","",1,+,+,+,"","","",+,"","","",+,+,"",1,"",1,"","","","","",+,1,+,"","","","","","",+,1,"","",1,"","","","","",1,"","","","","","",+,+,"","","","","",1
Asperula taurina L. subsp. taurina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,"","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"",""
Geum urbanum,r,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,r,+,+,1,"","",+,+,1,+,"","","","",+,"","",+,"","","","",1,+,+,+,+,1,+,+,+
Populus tremula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,"","","","",+,+,+,+,+,+,1,+,1,+,+,"","","","","","",+,"","","",+,"",1,""
