Area covered,West bounding coordinate,East bounding coordinate,North bounding coordinate,South bounding coordinate
Minnesota (statewide),-97.5,-89,49.5,43
Twin Cities metropolitan area,-94.01,-92.73,45.42,44.47
Aitkin County,-93.81,-93.05,47.16,46.15
Anoka County,-93.51,-93.02,45.42,45.03
Becker County,-96.19,-95.17,47.16,46.71
Beltrami County,-95.6,-94.41,48.55,47.41
Benton County,-94.35,-93.76,45.83,45.55
Big Stone County,-96.81,-96.12,45.61,45.15
Blue Earth County,-94.37,-93.76,44.27,43.84
Brown County,-94.37,-94.11,44.51,44.09
Carlton County,-93.07,-92.28,46.77,46.41
Carver County,-94.01,-93.52,44.99,44.63
Cass County,-94.8,-93.78,47.49,46.27
Chippewa County,-96.02,-95.24,45.17,44.73
Chisago County,-93.14,-92.64,45.73,45.29
Clay County,-96.81,-96.18,47.27,46.61
Clearwater County,-95.59,-95.17,48.02,47.15
Cook County,-91.07,-89.46,48.21,47.24
Cottonwood County,-95.47,-94.86,44.21,43.83
Crow Wing County,-94.4,-93.77,46.81,46.15
Dakota County,-93.33,-92.73,44.93,44.47
Dodge County,-93.05,-92.67,44.2,43.84
Douglas County,-95.76,-95.14,46.12,45.74
Faribault County,-94.25,-93.64,43.86,43.49
Fillmore County,-92.45,-91.72,43.85,43.5
Freeborn County,-93.65,-93.04,43.85,43.49
Goodhue County,-93.04,-92.23,44.71,44.19
Grant County,-96.26,-95.76,46.12,45.74
Hennepin County,-93.77,-93.17,45.25,44.78
Houston County,-91.74,-91.2,43.85,43.5
Hubbard County,-95.17,-94.66,47.42,46.79
Isanti County,-93.51,-93.01,45.74,45.41
Itasca County,-94.41,-93.05,47.9,47.01
Jackson County,-95.46,-94.85,43.86,43.48
Kanabec County,-93.52,-93.05,46.16,45.72
Kandiyohi County,-95.25,-94.76,45.42,44.88
Kittson County,-97.2,-96.4,49.03,48.51
Koochiching County,-94.43,-93.08,48.71,47.85
Lac qui Parle County,-96.45,-95.75,45.29,44.78
Lake County,-91.8,-91.02,48.21,46.92
Lake of the Woods County,-95.34,-94.45,49.4,48.35
Le Sueur County,-94.03,-93.52,44.55,44.19
Lincoln County,-96.45,-96.08,44.65,44.18
Lyon County,-96.08,-95.59,44.65,44.18
McLeod County,-94.5,-94.01,44.99,44.62
Mahnomen County,-96.07,-95.55,47.51,47.13
Marshall County,-97.15,-95.6,48.59,48.12
Martin County,-94.86,-94.24,43.86,43.49
Meeker County,-94.76,-94.25,45.34,44.88
Mille Lacs County,-93.81,-93.43,46.25,45.55
Morrison County,-94.65,-93.77,46.36,45.77
Mower County,-93.05,-92.44,43.85,43.49
Murray County,-96.07,-95.46,44.21,43.83
Nicollet County,-94.78,-93.92,44.47,44.14
Nobles County,-96.05,-95.45,43.87,43.48
Norman County,-96.85,-96.06,47.53,47.12
Olmsted County,-92.69,-92.07,44.2,43.83
Otter Tail County,-96.27,-95.15,46.74,46.08
Pennington County,-96.5,-95.59,48.2,47.9
Pine County,-93.15,-92.28,46.42,45.72
Pipestone County,-96.46,-96.06,44.21,43.83
Polk County,-97.1,-95.58,48.22,47.45
Pope County,-95.75,-95.13,45.8,45.39
Ramsey County,-93.23,-92.98,45.13,44.88
Red Lake County,-96.48,-95.71,47.99,47.74
Redwood County,-95.6,-94.87,44.71,44.18
Renville County,-95.47,-94.49,44.91,44.44
Rice County,-93.53,-93.03,44.55,44.19
Rock County,-96.05,-95.46,43.86,43.48
Roseau County,-96.4,-95.09,49.04,48.51
St. Louis County,-93,-91.75,48.5,46.5
Scott County,-93.92,-93.27,44.82,44.54
Sherburne County,-94.15,-93.51,45.57,45.24
Sibley County,-94.63,-93.76,44.73,44.44
Stearns County,-95.13,-94.05,45.79,45.27
Steele County,-93.41,-93.04,44.2,43.84
Stevens County,-96.25,-95.75,45.78,45.39
Swift County,-96.11,-95.25,45.43,45.13
Todd County,-95.14,-94.65,46.38,45.76
Traverse County,-96.86,-96.25,46.03,45.56
Wabasha County,-92.56,-91.85,44.46,44.1
Wadena County,-95.16,-94.74,46.82,46.36
Waseca County,-93.77,-93.4,44.2,43.84
Washington County,-93.03,-92.73,45.3,44.74
Watonwan County,-94.86,-94.36,44.12,43.84
Wilkin County,-96.75,-96.28,46.65,46
Winona County,-92.29,-91.27,44.19,43.84
Wright County,-94.26,-93.51,45.43,44.97
Yellow Medicine County,-96.45,-95.37,44.95,44.51
Canada,-145.27,-48.11,87.61,37.3
State of Illinois,-91.79,-87.23,42.79,36.71
State of Iowa,-96.97,-89.82,43.83,40.05
State of North Dakota,-104.43,-96.18,49.38,45.56
State of South Dakota,-104.44,-96.06,46.32,42.1
State of Wisconsin,-93.19,-86.5,47.38,42.19